Group,Rep_seq,Members of group
Group3,No,>GCA_023783395.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group3,No,>GCA_023805605.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group4,Yes,>GCA_023806885.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_intestinalis
Group4,No,>GCA_023807045.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_intestinalis
Group4,No,>GCA_023807065.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_intestinalis
Group5,Yes,>GCA_023805705.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_caudatum
Group5,No,>GCA_023807185.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_caudatum
Group5,No,>GCA_023807225.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_caudatum
Group6,Yes,>GCA_023783275.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group6,No,>GCA_023805735.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group6,No,>GCA_023806795.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group7,Yes,>GCA_023783215.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron_triloricatum
Group7,No,>GCA_023783335.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron_triloricatum
Group7,No,>GCA_023807245.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Enoploplastron;s__Enoploplastron_triloricatum
Group8,Yes,>GCA_023783195.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group8,No,>GCA_023783415.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group8,No,>GCA_023806825.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ophryoscolex;s__Ophryoscolex_caudatus
Group9,Yes,>GCA_023805565.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_flabellum
Group9,No,>GCA_023806845.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__AnoplodiniumDiplodinium;s__Diplodinium_flabellum
Group10,Yes,>GCA_023805485.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_cattanei
Group10,No,>GCA_023805505.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Epidinium;s__Epidinium_cattanei
Group11,Yes,>AB794970|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Spirodiniidae;g__Tetratoxum;s__Tetratoxum_unifasciculatum
Group11,No,>AB794971|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Spirodiniidae;g__Tetratoxum;s__Tetratoxum_excavatum
Group12,Yes,>GCA_023806045.1_s2|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__sp_YL2021b
Group12,No,>GCA_023806925.1_s2|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_prostoma
Group13,Yes,>AB437346|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Troglodytellidae;g__Troglodytella;s__Troglodytella_abrassarti_IsolateA
Group13,No,>AB437347|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Troglodytellidae;g__Troglodytella;s__Troglodytella_abrassarti_IsolateB
Group14,Yes,>AB535662|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium_gracile
Group14,No,>AB536718|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium_trivesiculatum
Group15,Yes,>JN116197|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__
Group15,No,>JN116198|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Polyplastron;s__
Group16,Yes,>GCA_023783295.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_caudatum
Group16,No,>GCA_023807325.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_caudatum
Group17,Yes,>GCA_023805665.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_bursa
Group17,No,>GCA_023807345.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Entodinium;s__Entodinium_bursa
Group18,Yes,>GCA_023783255.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium_gracile
Group18,No,>GCA_023805685.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Ostracodinium;s__Ostracodinium_gracile
Group19,Yes,>GCA_023806985.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_prostoma
Group19,No,>GCA_023807205.1_s1|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__UnclassifiedSuborder_1;f__Isotrichidae;g__Isotricha;s__Isotricha_prostoma
Group20,Yes,>JN116223|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Metadinium;s__
Group20,No,>JN116224|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Metadinium;s__
Group21,Yes,>JN116208|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Metadinium;s__
Group21,No,>JN116209|k__Eukaryota;supp__Alveolata;p__Ciliophora;subp__Intramacronucleata;c__Litostomatea;subc__Trichostomatia;o__Entodiniomorphida;subo__Entodiniomorphina;f__Ophryoscolecidae;g__Metadinium;s__
